0.039,0.073,0.16,0.332,,,,,,
0.039,0.073,0.16,0.332,,,small,medium,large,xlarge
0.039,0.073,0.16,0.332,,max,0.05,0.08,0.172,0.336
0.039,0.073,0.16,0.332,,min,0.038,0.064,0.152,0.304
0.039,0.073,0.16,0.332,,std,0.002526485,0.002578481,0.004737218,0.009003839
0.039,0.073,0.16,0.332,,mean,0.040629507,0.067285619,0.159768703,0.320065803
0.039,0.073,0.16,0.332,,,,,,
0.039,0.073,0.16,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.332,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.039,0.073,0.155,0.305,,,,,,
0.041,0.073,0.155,0.305,,,,,,
0.041,0.073,0.155,0.305,,,,,,
0.041,0.073,0.155,0.305,,,,,,
0.041,0.073,0.155,0.305,,,,,,
0.041,0.073,0.155,0.305,,,,,,
0.041,0.073,0.155,0.305,,,,,,
0.041,0.073,0.155,0.305,,,,,,
