0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.052
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.5,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.03,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.007,0.013,0.026,0.528
0.04,0.013,0.026,0.528
0.04,0.013,0.026,0.528
0.04,0.013,0.026,0.528
0.04,0.013,0.026,0.528
0.04,0.013,0.026,0.528
